id,price
1,54728.49
2,62195.32
3,23422.14
4,2370.0
5,5676.52
6,6516.14
7,4097.07
8,13338.78
9,4568.38
10,18282.47
11,4338.62
12,4644.88
13,4418.01
14,51973.8
15,40420.56
16,54139.51
17,54745.89
18,6487.8
19,64761.91
20,7203.270000000001
21,7579.16
22,65563.29
23,45176.21
24,5846.1
25,5433.63
26,4568.77
27,6033.91
28,6026.23
29,4119.14
30,6686.07
31,5927.41
32,65975.13
33,60499.69
34,52989.25
35,10647.05
36,5710.62
37,5019.36
38,46671.72
39,5408.39
40,2256.27
41,9571.88
42,78399.05
43,5241.24
44,3751.78
45,13870.66
46,2832.36
47,5980.37
48,13224.16
49,63489.88
50,5700.72
51,5572.9
52,3029.66
53,6716.76
54,4314.31
55,7242.65
56,2973.38
57,4084.32
58,38427.37
59,3306.09
60,65465.48
61,11448.12
62,45441.24
63,7242.79
64,10379.18
65,56232.38
66,60187.77
67,45318.21
68,12159.37
69,47824.32
70,45237.29
71,5673.62
72,6908.58
73,10368.65
74,7916.45
75,13006.04
76,6500.17
77,6303.79
78,3351.38
79,64276.52
80,13387.77
81,5102.19
82,6495.0
83,7333.07
84,5736.82
85,34566.87
86,59887.48
87,4959.32
88,13870.77
89,60151.95
90,4316.3
91,4560.2
92,62697.53
93,58221.86
94,80712.91
95,42604.51
96,9262.34
97,5940.62
98,16740.6
99,6369.44
100,67453.04
101,4757.64
102,8016.37
103,8295.72
104,2497.46
105,6517.94
106,8669.72
107,55367.13
108,56189.26
109,41649.81
110,2410.0
111,42796.08
112,52262.95
113,8536.02
114,2990.41
115,4210.75
116,3119.89
117,5670.62
118,3298.85
119,6019.59
120,15557.78
121,58430.95
122,14745.17
123,6346.81
124,45796.5
125,5536.97
126,6772.31
127,6661.95
128,12205.94
129,65663.04
130,3847.7
131,6584.27
132,54790.65
133,5774.53
134,6200.73
135,4601.6
136,49515.64
137,4741.4
138,7817.22
139,4027.05
140,4901.48
141,3446.52
142,51477.89
143,8012.92
144,1721.03
145,55036.84
146,2890.78
147,6351.27
148,13667.66
149,5277.08
150,4745.79
151,8097.57
152,65033.86
153,7623.32
154,6709.3
155,62411.14
156,6494.87
157,6452.72
158,5253.37
159,6578.64
160,4451.7
161,55146.18
162,6745.69
163,68175.32
164,8063.62
165,58504.66
166,34391.01
167,60711.08
168,4508.63
169,11432.44
170,49514.55
171,1909.34
172,6710.52
173,53267.86
174,55086.06
175,5748.08
176,66248.83
177,4024.97
178,3998.64
179,5861.93
180,73519.58
181,30275.67
182,7381.81
183,13545.46
184,6460.28
185,24096.06
186,6971.97
187,8366.59
188,53399.2
189,13594.2
190,5605.74
191,58769.7
192,3239.84
193,57122.35
194,6550.89
195,4556.94
196,6416.22
197,2631.8
198,15000.82
199,9981.69
200,64930.83
201,69781.11
202,12968.94
203,3465.29
204,7332.27
205,62031.79
206,62087.44
207,4301.51
208,45173.0
209,49919.74
210,8875.2
211,60453.53
212,41281.33
213,5030.1
214,4740.61
215,6630.35
216,49656.83
217,4930.82
218,29068.04
219,7289.1
220,3396.83
221,4007.58
222,4350.62
223,22136.54
224,54083.75
225,48120.12
226,12624.83
227,6710.26
228,9975.79
229,4958.83
230,61089.13
231,4878.41
232,7022.48
233,14191.59
234,12627.45
235,3577.33
236,6379.07
237,3584.58
238,4063.85
239,2345.83
240,11428.63
241,61262.67
242,51392.5
243,3596.23
244,60981.78
245,8584.69
246,49613.0
247,53575.56
248,5147.39
249,5186.85
250,68815.83
251,8703.12
252,5387.11
253,53824.73
254,11380.0
255,5918.95
256,72729.54
257,4682.08
258,2303.85
259,4703.54
260,55822.69
261,3646.99
262,6202.8
263,54714.58
264,4018.65
265,6690.47
266,1664.68
267,41254.48
268,47765.63
269,46682.56
270,8355.36
271,6580.88
272,7548.67
273,46784.74
274,31846.62
275,2152.53
276,8992.71
277,26925.98
278,7702.21
279,32897.44
280,6206.64
281,37985.0
282,5286.03
283,5809.73
284,6789.28
285,50191.49
286,6331.85
287,38099.0
288,5351.23
289,60922.15
290,1777.59
291,2042.56
292,6514.3
293,8336.99
294,5934.33
295,4455.25
296,3739.14
297,53393.87
298,15349.73
299,10099.8
300,5525.55
301,64645.3
302,2711.65
303,7083.6
304,9819.78
305,52851.91
306,6592.65
307,51973.75
308,5276.37
309,53194.37
310,12770.18
311,5065.92
312,54276.21
313,4185.75
314,2464.49
315,3697.01
316,33486.73
317,4593.28
318,5468.49
319,9947.26
320,4355.26
321,4295.62
322,60970.82
323,5883.03
324,3875.1
325,6268.87
326,14366.38
327,6282.11
328,4527.56
329,5532.63
